"","id_stanice","prohlidky_celkem","docasne_zpusoblile_pocet","docasne_zpusobile_pct","nezpusobile_pocet","nezpusobile_pct","zpusobile_pocet","zpusobile_pct","blank","prum_poc_zavad_lehke","prum_poc_zavad_vazne","prum_poc_zavad_nebezpecne","druh_stk","psc","mesto","ulice","provozovatel","telefon","email","orp","okres","kraj"
"1",3103,0,0,0,0,0,0,0,NA,0,0,0,"NA, TRA","108 56","Praha 10","U vozovny 6","Dopravní podnik hl.m. Prahy a.s.","272704945","stk@dpp.cz","Praha","Praha","Hlavní město Praha"
"2",3104,11831,715,6.04,58,0.49,11058,93.47,NA,1.58,0.13,0.01,"OA, ZS","150 00","Praha 5","Plzeňská 215b","STK MOTOL S.R.O.","257210963","stk@stkmotol.cz","Praha","Praha","Hlavní město Praha"
"3",3105,10831,744,6.87,83,0.77,10004,92.36,NA,2.69,0.13,0.01,"OA, ZS","100 31","Praha 10","Průběžná 76","STK Praha, s.r.o.","274774867","stk@aboservis.cz","Praha","Praha","Hlavní město Praha"
"4",3106,9637,107,1.11,7,0.07,9523,98.82,NA,1.44,0.02,0,"OA, NA, TRA, ZS, ADR","153 00","Praha 5","Jeremiášova 870","DISKARD STK spol. s r.o.","723904805","info@stk-diskard.cz","Praha","Praha","Hlavní město Praha"
"5",3107,32,0,0,0,0,32,100,NA,2.25,0,0,"NA, TRA, ZS","148 00","Praha 4","Dobronická 635","STK Kunratice spol. s r.o.","261 112 399, 261 112 597","stk-kunratice-nakladni@dekra.cz","Praha","Praha","Hlavní město Praha"
"6",3108,6889,933,13.54,61,0.89,5895,85.57,NA,1.73,0.36,0.01,"OA, ZS","169 00","Praha 6","Radimova 39","Břevnovská STK s.r.o.","220513268","brevnovska.stk@seznam.cz","Praha","Praha","Hlavní město Praha"
"7",3109,4376,92,2.1,4,0.09,4280,97.81,NA,3.03,0.06,0,"OA, ZS","181 00","Praha 8","Čimická 894/131","Antonín Indra STK ,spol. s r.o.","233557743","stk-cimice@volny.cz","Praha","Praha","Hlavní město Praha"
"8",3110,5352,267,4.99,27,0.5,5058,94.51,NA,1.73,0.12,0.01,"OA, ZS","130 00","Praha 3","Osiková 2688/2","DEKRA CZ a.s.","251002130","stkjarov@dekra.cz","Praha","Praha","Hlavní město Praha"
"9",3112,11746,752,6.4,77,0.66,10917,92.94,NA,1.46,0.17,0.01,"OA, NA, TRA, ZS","109 00","Praha 15","K Měcholupům 3","AUTO-VESELÝ, s.r.o.","274 877 292","vesely@stkmecholupy.cz","Praha","Praha","Hlavní město Praha"
"10",3113,3908,350,8.96,42,1.07,3516,89.97,NA,1.75,0.18,0.01,"OA, ZS","120 00","Praha 2","Fričova 13","PRONTO STK s.r.o.","222 564 115","stkpraha@stkpraha.cz","Praha","Praha","Hlavní město Praha"
"11",3114,12745,309,2.42,24,0.19,12412,97.39,NA,1.75,0.05,0,"OA, ZS","101 00","Praha 10","Nad Vršovskou horou 88/4","STK Bohdalec s.r.o.","267 107 485, 267 107 488","info@stk-bohdalec.cz","Praha","Praha","Hlavní město Praha"
"12",3115,3204,267,8.33,13,0.41,2924,91.26,NA,1.79,0.25,0,"OA, ZS","190 00","Praha 9","Na Výběžku 688/11","Pro-M, s.r.o.","284 818 928, 284 818 927","stkvysocany.cz@dekra.com","Praha","Praha","Hlavní město Praha"
"13",3116,4943,403,8.15,26,0.53,4514,91.32,NA,1.39,0.21,0.01,"OA, ZS","182 00","Praha 8","Bešťákova 567/3","MYNOS STK, s.r.o.","286 580 824","stkstkpraha8@gmail.com","Praha","Praha","Hlavní město Praha"
"14",3117,6621,333,5.03,36,0.54,6252,94.43,NA,1.13,0.11,0.01,"OA","190 00","Praha 9","Prosecká 817","DEKRA CZ a.s.","283 881 307","stk-prosek@dekra.cz","Praha","Praha","Hlavní město Praha"
"15",3118,2096,262,12.5,28,1.34,1806,86.16,NA,0.49,0.3,0.02,"OA, ZS","101 01","Praha 10","Přípotoční 300","Zařízení služeb pro MV","974844447","stk3118@seznam.cz","Praha","Praha","Hlavní město Praha"
