"lon","lat","prohlidky_celkem","docasne_zpusoblile_pocet","nezpusobile_pocet","zpusobile_pocet","prum_poc_zavad_lehke","prum_poc_zavad_vazne","prum_poc_zavad_nebezpecne","mesto","ulice","provozovatel","telefon","email","zpusobile_pct"
14.3488987,50.0679091,11831,715,58,11058,1.58,0.13,0.01,"Praha 5","Plzeňská 215b","STK MOTOL S.R.O.","257210963","stk@stkmotol.cz",93.47
14.5020591,50.0652264,10831,744,83,10004,2.69,0.13,0.01,"Praha 10","Průběžná 76","STK Praha, s.r.o.","274774867","stk@aboservis.cz",92.36
14.3154421,50.059612,9637,107,7,9523,1.44,0.02,0,"Praha 5","Jeremiášova 870","DISKARD STK spol. s r.o.","723904805","info@stk-diskard.cz",98.82
14.4737673,50.0109236,32,0,0,32,2.25,0,0,"Praha 4","Dobronická 635","STK Kunratice spol. s r.o.","261 112 399, 261 112 597","stk-kunratice-nakladni@dekra.cz",100
14.3609149,50.0869283,6889,933,61,5895,1.73,0.36,0.01,"Praha 6","Radimova 39","Břevnovská STK s.r.o.","220513268","brevnovska.stk@seznam.cz",85.57
14.4368361,50.1269857,4376,92,4,4280,3.03,0.06,0,"Praha 8","Čimická 894/131","Antonín Indra STK ,spol. s r.o.","233557743","stk-cimice@volny.cz",97.81
14.4982725,50.0898434,5352,267,27,5058,1.73,0.12,0.01,"Praha 3","Osiková 2688/2","DEKRA CZ a.s.","251002130","stkjarov@dekra.cz",94.51
14.5698168,50.0475029,11746,752,77,10917,1.46,0.17,0.01,"Praha 15","K Měcholupům 3","AUTO-VESELÝ, s.r.o.","274 877 292","vesely@stkmecholupy.cz",92.94
14.435748,50.0677085,3908,350,42,3516,1.75,0.18,0.01,"Praha 2","Fričova 13","PRONTO STK s.r.o.","222 564 115","stkpraha@stkpraha.cz",89.97
14.4717994,50.061156,12745,309,24,12412,1.75,0.05,0,"Praha 10","Nad Vršovskou horou 88/4","STK Bohdalec s.r.o.","267 107 485, 267 107 488","info@stk-bohdalec.cz",97.39
14.5155676,50.1041897,3204,267,13,2924,1.79,0.25,0,"Praha 9","Na Výběžku 688/11","Pro-M, s.r.o.","284 818 928, 284 818 927","stkvysocany.cz@dekra.com",91.26
14.4823968,50.1318778,4943,403,26,4514,1.39,0.21,0.01,"Praha 8","Bešťákova 567/3","MYNOS STK, s.r.o.","286 580 824","stkstkpraha8@gmail.com",91.32
14.5080102,50.1228168,6621,333,36,6252,1.13,0.11,0.01,"Praha 9","Prosecká 817","DEKRA CZ a.s.","283 881 307","stk-prosek@dekra.cz",94.43
14.4605203,50.0650143,2096,262,28,1806,0.49,0.3,0.02,"Praha 10","Přípotoční 300","Zařízení služeb pro MV","974844447","stk3118@seznam.cz",86.16
14.3717036,49.9882415,5496,485,54,4957,2,0.28,0.01,"Praha 5","Výpadová 1559","AUTO FEMAT s.r.o.","242 410 660-1","stk@femat-auto.cz",90.19
14.5726652,50.1118808,12001,1503,62,10436,0.91,0.38,0.01,"Praha 14","Skorkovská  1537","TÜV NORD Czech, s.r.o.","281 915 951, 281 915 952","zizkovsky@tuev-nord.cz; stk-praha@tuev-nord.cz",86.96
14.4315625,50.109996,7893,426,16,7451,1.1,0.13,0,"Praha 7","Za elektrárnou 19","STK Holešovice s.r.o.","267052285","stk@stkholesovice.cz",94.4
14.2985113,50.0761624,9576,513,16,9047,1.2,0.14,0,"Praha 6","Karlovarská 814","NH group s.r.o.","725392611","stkrepy@stkrepy.cz",94.48
14.4686202,50.0096488,7781,411,43,7327,1.64,0.13,0.01,"Praha 4","Dobronická 1216","STK Kunratice spol. s r.o.","242456194","stkkunratice@gmail.cz",94.17
14.4481109,50.1371928,7729,166,19,7544,4.04,0.04,0,"Praha 8","Dopraváků 723/1","TEKOSO-STK spol.s r.o.","283085164","stk3124@seznam.cz",97.61
14.5853287,50.0375902,4345,108,6,4231,2.64,0.04,0,"Praha 10 Uhřiněves","Podleská 1545/1","PETRA s.r.o.","267315085","stk3125@seznam.cz",97.38
14.4555694,50.0509007,10551,1072,71,9408,1.56,0.22,0.01,"Praha 4","Ohradní","PRONTO STK s.r.o.","607691696","stkpraha@stkpraha.cz",89.17
14.4451634,50.1369367,4116,255,49,3812,1.58,0.19,0.01,"Praha 9","Dopraváků 874/15","TEKOSO-STK spol.s r.o.","273130110","stk3127@seznam.cz",92.61
